"Date","Sample Location","Time1","VOCs1 (ppm)","Temp1 (°F)","Humidity1 (%)","Observations1","Time2","VOCs2 (ppm)","Temp2 (°F)","Humidity2 (%)","Observations2","Time3","VOCs3 (ppm)","Temp3 (°F)","Humidity3 (%)","Observations3"
"09/07/2018","Basement:",,,,,,,,,,,,,,,
"09/07/2018","Main area",,"<0.1",,,,,,,,,,,,,
"09/07/2018","Plaster shop",,"<0.1",,,,,,,,,,,,,
"09/07/2018","Compactor room",,"<0.1",,,,,,,,,,,,,
"09/07/2018","Storage room",,"<0.1",,,,,,,,,,,,,
"09/07/2018","Electric meter room",,"<0.1",,,,,,,,,,,,,
"09/07/2018","Exman room",,"<0.1",,,,,,,,,,,,,
"09/07/2018","Hallway",,"<0.1",,,,,,,,,,,,,
"09/07/2018","Sprinkler control valve room",,"<0.1",,,,,,,,,,,,,
"09/07/2018","Gas meter room",,"<0.1",,,,,,,,,,,,,
"09/07/2018","Boiler/tank room",,"<0.1",,,,,,,,,,,,,
"09/07/2018","1st Floor:",,,,,,,,,,,,,,,
"09/07/2018","Slop sink room",,"0.2",,,"storage for cleaning chemicals",,,,,,,,,,
"09/07/2018","Elevator 1",,"0.3",,,,,,,,,,,,,
"09/07/2018","Elevator 2",,"1.9",,,"just cleaned",,,,,,,,,,
"09/07/2018","Tenant Association room",,"<0.1",,,,,,,,,,,,,
"09/07/2018","2nd Floor",,"0.6",,,"high temperature, humid, poor ventillation, stagnant air",,,,,,,,,,
"09/07/2018","3rd Floor",,"0.7",,,"high temperature, humid, poor ventillation, stagnant air",,,,,,,,,,
"09/07/2018","4th Floor",,"0.8",,,"high temperature, humid, poor ventillation, stagnant air, cooking smell",,,,,,,,,,
"09/07/2018","6th Floor",,"0.8",,,"high temperature, humid, poor ventillation, stagnant air, active smoking",,,,,,,,,,
"09/07/2018","7th Floor",,"0.7",,,"high temperature, humid, poor ventillation, stagnant air, floor being mopped",,,,,,,,,,
"09/08/2018","Basement:",,,,,,,,,,,,,,,
"09/08/2018","1st Floor:",,,,,,,,,,,,,,,
"09/09/2018","Basement:",,,,,"rain/wind/backdoor open",,,,,"rain/wind/backdoor open",,,,,"rain/wind"
"09/09/2018","1st Floor:",,,,,,,,,,,,,,,
"09/10/2018","Basement:",,,,,,,,,,,,,,,
"09/10/2018","Main area",,"<0.1","62.4","78.6",,,"<0.1","71.2","87.3",,,"<0.1","69.7","60.2",
"09/10/2018","Plaster shop",,"<0.1","71.5","61.2",,,,,,"No access",,,,,"No access"
