name,price,quantity,category
rule,326.2284566981886,9,Sports
each,460.5052586122848,72,Sports
need,163.3819299244131,68,Sports
design,96.57357933502466,51,Clothes
myself,99.95897347662513,74,Books
price,451.03662497127164,87,Clothes
deal,276.3108871247145,77,Home
across,66.57127141656247,18,Sports
gun,430.2878030628255,96,Books
score,495.52393326600946,65,Electronics
throw,175.3047721942124,69,Electronics
force,356.6674991239511,75,Electronics
together,490.28257450858274,83,Books
account,248.53534358112412,46,Home
program,414.20377289684143,94,Books
might,122.18791482999478,77,Home
free,134.4199274946575,72,Electronics
important,86.56239855514086,3,Sports
ball,100.85057558719076,66,Books
management,421.6082997879021,26,Clothes
Republican,131.4853264343053,2,Home
degree,459.0600052540284,78,Home
finally,349.54767685749823,6,Home
exist,232.81391959966896,29,Clothes
shoulder,418.6064581233971,84,Sports
light,328.1444507726616,38,Home
rich,13.766552405778755,4,Books
adult,308.66247883007173,46,Clothes
before,301.9539791679423,51,Electronics
follow,412.27545393712836,80,Sports
responsibility,201.68285091394677,5,Electronics
fact,288.1294607749567,84,Sports
treatment,222.03053832992467,96,Home
opportunity,286.4589734741396,98,Home
fish,490.1462438593376,85,Books
war,74.468818284701,1,Clothes
purpose,436.054581267764,38,Home
Mrs,465.6896092662098,91,Sports
few,343.0268277747762,100,Sports
industry,121.6364216651038,12,Home
citizen,325.3533740309527,4,Home
our,85.22710353698778,54,Sports
turn,229.08179498698948,73,Electronics
their,315.2352446005973,29,Books
write,166.05167800407443,44,Clothes
though,33.017331407480235,48,Clothes
clear,268.0128510166324,29,Books
drive,273.21932275465326,97,Clothes
sort,197.382872453813,92,Clothes
institution,496.54824701685953,55,Home
most,201.6918392411968,96,Sports
population,419.11767256642054,54,Sports
store,15.525904826503208,96,Books
party,70.37464235388484,60,Sports
available,136.24781549536374,66,Clothes
collection,453.77832775901754,63,Clothes
than,104.80402448137353,100,Electronics
yeah,46.40003226995735,10,Books
painting,102.40785373812717,58,Electronics
interview,192.7807029158705,34,Sports
major,87.89399616976445,100,Books
organization,250.89522736333166,76,Clothes
so,89.40333917120033,47,Electronics
hope,211.57021405941015,93,Books
along,143.34645245276587,68,Books
boy,192.10942546464437,45,Books
tonight,110.718297305902,28,Books
dark,159.113253093007,73,Home
to,477.3216148804434,32,Sports
direction,110.58530982178807,81,Sports
rather,91.59814653448899,82,Books
still,92.53446286556503,36,Clothes
in,408.0936521715244,49,Books
all,226.96327199827113,78,Clothes
however,435.92889895741894,22,Electronics
we,115.93952912228022,44,Electronics
future,418.0395707246661,27,Books
our,395.2643246056056,80,Clothes
power,384.27847434939616,87,Electronics
beat,29.7613421631458,38,Books
too,381.0168316428965,76,Sports
student,96.656635004596,85,Clothes
among,316.3464071414246,8,Books
Congress,305.94901497787293,90,Home
human,151.9633728493849,51,Clothes
hope,305.7863156774569,60,Sports
next,469.02120862268765,74,Electronics
finish,440.4587589126625,22,Books
floor,48.65125464489627,63,Home
hard,412.87530528043095,56,Books
one,399.50554031074444,97,Home
simply,98.71597509741649,5,Electronics
real,221.98641696129124,83,Home
travel,257.2969631680277,38,Home
change,62.170858596282955,37,Home
help,326.07948285923317,48,Clothes
author,258.6872784414344,31,Home
house,268.8385858245753,64,Home
there,194.09280741045052,64,Home
others,121.26027974566382,57,Clothes
now,300.0696177358173,44,Clothes
young,34.32913423093447,93,Sports
explain,459.07922628804204,44,Books
deal,414.21414200342457,36,Home
in,218.33750381202057,35,Sports
new,401.6638268272293,5,Sports
process,364.43730682503883,80,Books
fund,283.9695887409307,71,Clothes
fast,303.30799524531153,23,Clothes
detail,298.6604448760807,58,Sports
day,444.54466234199947,13,Sports
election,193.72846002538074,51,Electronics
security,443.4500561952933,41,Home
beyond,424.64195829242226,96,Books
there,197.19686579394082,70,Home
such,207.39961969895074,45,Clothes
north,181.82077685658504,59,Clothes
in,320.9995522582831,58,Books
every,70.68861484493186,9,Sports
may,268.6854342653983,96,Clothes
long,241.69819716261975,82,Electronics
worker,464.8704894950788,54,Clothes
technology,20.83845835605714,36,Clothes
painting,298.9294766992961,27,Home
claim,135.80175788652002,99,Home
year,144.5842916140669,75,Books
hit,164.67752936368063,32,Clothes
turn,437.81116258957445,62,Clothes
subject,283.6222672139759,78,Books
despite,406.8135493516339,82,Clothes
her,87.89462859597703,47,Sports
form,172.55297543982843,89,Home
environmental,125.64702007220126,10,Sports
vote,65.90157499226137,10,Electronics
them,254.5667273674369,82,Clothes
other,233.88381764074092,24,Books
trip,255.03067439917749,39,Clothes
purpose,167.73233028278602,61,Clothes
expert,24.633927287238453,41,Home
window,365.01623927877546,79,Electronics
left,87.35029053503911,27,Sports
claim,445.59071124340034,19,Electronics
growth,31.823264005249573,98,Home
quickly,380.878012404557,46,Sports
point,120.62330759225914,80,Home
test,79.6120813827258,67,Sports
ten,230.1516525634568,3,Sports
attention,164.05492517906384,34,Books
science,424.3804175123915,36,Electronics
paper,52.53399677949819,29,Electronics
window,395.74561019710444,6,Sports
manage,372.87940445956195,58,Books
bring,285.4486844670953,35,Home
less,301.72235281054026,17,Clothes
order,384.73896205344687,46,Clothes
third,281.557726178244,2,Books
participant,453.0489781853459,81,Books
too,397.8608002446052,21,Electronics
hotel,48.146817705590216,3,Sports
marriage,276.14784106857746,84,Sports
be,31.067354980190807,91,Books
dark,126.13502769769234,80,Home
myself,379.88539722873566,97,Clothes
several,200.03087834708597,54,Sports
develop,317.23230770422197,34,Home
tonight,294.57669551495445,24,Sports
child,166.82702990078903,49,Electronics
social,180.23508597756594,19,Sports
good,421.3193558029673,14,Home
week,190.33967666584695,77,Sports
these,209.24478745020818,60,Sports
question,253.61392759021595,27,Clothes
despite,275.5828018386971,35,Electronics
